,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster,id
84,0.809,0.739,9,-5.35,1,0.0358,0.0409,0.000163,0.0929,0.971,125.456,219360,4,3,3D9aRFIrFGDnBJAmP6ODYW
85,0.461,0.748,1,-6.122,1,0.033,0.0444,0.0,0.125,0.115,180.063,237987,4,9,3PfeAZbfD134dO6OiLDA2Y
86,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933,4,5,6ZOBP3NvffbU4SZcrnt1k6
87,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693,4,5,1m2xMsxbtxv21Brome189p
88,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142,166693,4,2,0gBFr7N2D1GfhkXIIepIGG
89,0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,271093,4,2,4eHbdreAnSOrDDsFfc4Fpm
90,0.694,0.924,0,-3.764,1,0.0405,0.00309,3.89e-05,0.121,0.72,118.988,294467,4,1,34dAuFhftSbjLWksf8c73i
91,0.824,0.556,0,-10.711,0,0.033,0.146,0.000394,0.0839,0.566,108.858,245640,4,8,0cKuO2BdECtbVQDCGx1dqa
92,0.567,0.501,2,-8.038,1,0.0241,0.0995,0.0,0.0986,0.2,142.589,236773,3,11,61sQYdFNS6sEBYCyr1q5gn
93,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4,1,4ycLiPVzE5KamivXrAzGFG
94,0.834,0.633,4,-11.442,0,0.0422,0.0631,5e-05,0.313,0.904,123.815,224773,4,5,3hVrI7snZMTmHCnbwME47u
95,0.701,0.601,11,-7.678,0,0.153,0.197,0.0,0.0649,0.564,83.433,258667,4,5,7rOIWUhSfjWh4E7443PYE8
96,0.618,0.916,9,-4.289,1,0.103,0.752,0.0,0.0944,0.961,177.623,153234,4,10,0qMujfRhXLalSaDtN0PPMS
97,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,179120,4,6,2bLqfJjuC5syrsgDsZfGmn
98,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760,4,3,55qBw1900pZKfXJ6Q9A2Lc
99,0.501,0.695,10,-7.399,1,0.058,0.508,0.0,0.0765,0.593,121.973,246253,4,3,1vyI6X2Id2CarE73XOLGxM
100,0.704,0.834,10,-7.131,0,0.0358,0.0291,0.00492,0.147,0.923,103.555,285373,4,5,5cP52DlDN9yryuZVQDg3iq
101,0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986,210200,3,11,0KQx6HOpJueiSkztcS0r7D
102,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075,299333,4,1,4P7VFiaZb3xrXoqGwZXC3J
