,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
138,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253,4,3
139,0.706,0.558,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,223253,4,8
140,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,5
141,0.321,0.522,10,-7.349,0,0.0339,0.404,9.56e-06,0.0922,0.456,202.689,288080,4,10
142,0.71,0.584,9,-9.286,1,0.0808,0.18,0.000137,0.173,0.438,99.225,236960,4,3
143,0.646,0.94,10,-2.856,0,0.0838,0.0209,0.0,0.0691,0.704,129.011,231787,4,5
144,0.697,0.474,9,-6.663,1,0.0351,0.603,0.0,0.11,0.249,127.904,196280,4,9
145,0.786,0.716,11,-4.253,0,0.0409,0.102,1.72e-05,0.0557,0.595,125.921,235520,4,5
146,0.64,0.433,5,-9.432,1,0.0375,0.509,5.16e-06,0.103,0.25,176.088,306933,4,9
147,0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,259933,4,9
148,0.332,0.148,3,-17.523,1,0.032,0.864,0.0609,0.206,0.613,70.881,156440,4,2
149,0.188,0.213,4,-9.807,1,0.0304,0.89,0.431,0.196,0.204,79.607,192027,4,2
150,0.252,0.303,3,-13.59,1,0.0327,0.528,0.925,0.11,0.22,73.62,197827,4,6
151,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4,3
152,0.652,0.732,7,-10.55,1,0.0421,0.423,3.09e-06,0.189,0.93,143.219,139002,4,0
153,0.65,0.562,7,-5.965,1,0.0345,0.0624,3.21e-05,0.076,0.882,123.674,176867,4,3
154,0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955,241933,4,3
155,0.677,0.722,5,-7.767,1,0.0295,0.357,0.148,0.105,0.898,132.996,174600,4,0
156,0.659,0.696,3,-4.291,1,0.071,0.143,0.0,0.13,0.665,86.001,252160,4,1
157,0.567,0.141,10,-14.803,1,0.0315,0.925,0.00465,0.117,0.319,103.078,160067,3,11
158,0.415,0.534,0,-8.432,1,0.0305,0.00362,0.000433,0.118,0.142,138.996,274800,4,9
159,0.421,0.201,0,-12.399,1,0.0436,0.917,0.000436,0.116,0.188,129.689,186507,5,2
160,0.788,0.877,0,-8.351,1,0.0349,0.0237,0.00366,0.058,0.967,120.368,229853,4,1
161,0.481,0.435,7,-11.889,1,0.0276,0.336,0.869,0.368,0.513,103.131,156160,4,6
162,0.802,0.687,4,-6.05,1,0.222,0.113,3.85e-06,0.11,0.569,123.935,326960,4,4
163,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,268320,4,3
164,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,4,0
165,0.918,0.918,10,-2.218,0,0.0954,0.344,5.35e-06,0.0243,0.882,110.024,199907,4,5
166,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,230133,4,5
167,0.535,0.887,11,-3.106,1,0.0449,0.000304,2.23e-06,0.257,0.445,126.01,215160,4,3
168,0.87,0.758,2,-3.977,1,0.252,0.155,0.0,0.0534,0.855,92.082,250667,4,4
169,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,4,1
170,0.55,0.611,3,-10.657,1,0.0443,0.0392,0.0,0.0631,0.626,168.512,290960,4,10
171,0.636,0.761,3,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067,4,5
172,0.937,0.654,8,-11.187,1,0.322,0.00533,1.26e-06,0.0542,0.607,128.462,262827,4,4
173,0.567,0.667,9,-11.2,0,0.0331,0.155,5.79e-05,0.285,0.607,103.959,176173,4,8
174,0.42,0.74,8,-10.35,1,0.0513,0.557,0.0128,0.145,0.947,190.962,154360,4,10
175,0.692,0.651,0,-7.466,1,0.0296,0.203,0.0,0.114,0.966,126.815,165920,4,1
176,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,220573,4,0
177,0.559,0.718,7,-8.534,1,0.0599,0.364,0.0182,0.0535,0.965,120.24,179693,4,0
178,0.439,0.338,10,-10.108,1,0.0252,0.484,0.00042,0.188,0.216,93.573,265613,4,2
179,0.529,0.741,3,-5.661,1,0.0268,0.116,1.22e-06,0.0736,0.455,100.008,205240,4,9
180,0.515,0.218,5,-10.071,1,0.0287,0.828,0.0,0.302,0.534,102.997,158933,4,2
181,0.695,0.83,5,-7.167,1,0.122,0.404,1.94e-06,0.386,0.669,109.423,171987,4,7
182,0.715,0.327,0,-11.814,1,0.033,0.782,0.000344,0.625,0.713,84.369,146400,4,7
183,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,227960,4,4
184,0.473,0.735,9,-8.921,1,0.0296,0.0603,0.0,0.15,0.754,132.506,169800,4,3
185,0.838,0.616,8,-6.502,1,0.0433,0.575,0.0,0.0785,0.971,131.719,128307,4,0
186,0.739,0.576,1,-12.024,1,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427,4,1
187,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515,183120,4,0
188,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4,5
189,0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142,255002,4,0
190,0.665,0.695,0,-5.763,1,0.0532,0.347,0.0,0.106,0.707,90.119,227387,4,1
191,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,4,5
192,0.456,0.609,11,-11.767,1,0.068,0.275,0.0198,0.108,0.682,84.441,209800,4,3
193,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,264373,4,4
194,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,223000,4,5
195,0.678,0.717,0,-6.188,1,0.0499,0.149,1.64e-05,0.219,0.85,112.625,166707,4,1
196,0.374,0.0889,4,-17.475,1,0.0356,0.931,6.88e-06,0.111,0.211,96.677,145133,4,2
197,0.907,0.917,5,-5.464,0,0.0778,0.12,0.0475,0.039,0.906,108.21,246240,4,5
198,0.7,0.695,7,-4.973,1,0.0897,0.00629,0.0,0.0319,0.633,122.028,203333,4,3
199,0.666,0.298,0,-16.948,1,0.0316,0.0779,0.000359,0.0847,0.554,102.548,297333,4,9
200,0.362,0.343,3,-8.925,0,0.0312,0.828,1.95e-05,0.119,0.257,136.15,235720,4,8
201,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4,4
202,0.628,0.257,4,-9.916,1,0.0379,0.826,0.0,0.0902,0.566,125.966,184880,4,2
203,0.695,0.268,5,-13.877,0,0.0527,0.327,7.19e-06,0.131,0.367,85.753,177086,4,8
204,0.642,0.156,9,-16.998,1,0.0376,0.114,0.000103,0.105,0.658,119.743,182533,4,0
205,0.554,0.237,0,-15.468,1,0.0325,0.9,0.191,0.19,0.637,104.094,148787,3,11
206,0.509,0.485,1,-9.957,1,0.0316,0.594,0.00256,0.277,0.574,137.903,130507,3,11
207,0.395,0.843,8,-4.476,1,0.0374,0.00483,0.0,0.0404,0.481,112.423,212067,4,3
208,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,228240,4,5
209,0.79,0.536,1,-6.192,1,0.11,0.495,0.0,0.111,0.536,119.904,256653,4,1
210,0.791,0.605,9,-13.386,0,0.044,0.023,0.00857,0.303,0.683,116.445,198600,4,5
211,0.787,0.635,6,-6.277,1,0.117,0.0457,0.0,0.266,0.598,87.99,211000,4,3
212,0.596,0.581,9,-10.915,1,0.0384,0.679,0.0,0.0701,0.878,127.262,176333,4,0
213,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,262333,4,10
214,0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,211666,4,5
215,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4,1
216,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4,8
217,0.856,0.755,7,-8.55,1,0.183,0.221,0.000279,0.104,0.805,132.382,121800,4,3
218,0.722,0.605,7,-8.042,1,0.0708,0.254,4.04e-06,0.159,0.635,127.025,159587,4,3
219,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,237493,4,3
220,0.801,0.641,8,-9.097,0,0.0565,0.00444,3.54e-05,0.105,0.829,93.773,211533,4,5
221,0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,176293,4,8
222,0.374,0.825,9,-3.805,0,0.0561,0.49,0.0,0.0585,0.487,145.701,134733,4,10
223,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,207240,4,2
224,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,166827,4,10
225,0.8,0.875,11,-4.952,0,0.0338,0.0615,2.79e-06,0.13,0.882,100.033,233533,4,5
226,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,262533,4,3
227,0.432,0.471,3,-12.26,1,0.0473,0.422,0.0,0.141,0.783,203.27,173400,4,10
228,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,223440,4,1
229,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,239027,4,3
230,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4,4
231,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318,515867,4,9
232,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,260666,4,2
233,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,288133,4,4
234,0.402,0.205,6,-11.232,1,0.038,0.758,0.0,0.147,0.42,143.994,189027,4,2
235,0.62,0.559,2,-10.568,1,0.037,0.716,0.435,0.133,0.527,129.4,345680,4,6
236,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603,222747,4,3
237,0.201,0.458,2,-7.687,1,0.0298,0.904,0.000339,0.126,0.399,174.852,143920,4,10
